"city","state","statename","stfips","region","order","old","cityname","citynameU","pop"
"rich","VA","Virginia",51,"NE",107,1,"Richmond","Richmond",197790
"rive","CA","California",6,"SC",29,1,"Riverside","Riverside",1545387
"roch","NY","New York",36,"NE",52,1,"Rochester","Rochester",735343
"sacr","CA","California",6,"NW",33,1,"Sacramento","Sacramento",1223499
"salt","UT","Utah",49,"NW",50,1,"Salt Lake City","Salt Lake City",898387
"sana","TX","Texas",48,"SW",28,1,"San Antonio","San Antonio",1392931
"sanb","CA","California",6,"SC",25,1,"San Bernardino","San Bernardino",1709434
"sand","CA","California",6,"SC",10,1,"San Diego","San Diego",2813833
"sanf","CA","California",6,"NW",51,0,"San Francisco","San Francisco",776733
"sanj","CA","California",6,"NW",23,1,"San Jose","San Jose",1682585
"seat","WA","Washington",53,"NW",22,1,"Seattle","Seattle",1737034
"shr","LA","Louisiana",22,"SE",94,1,"Shreveport","Shreveport",350471
"spok","WA","Washington",53,"NW",89,1,"Spokane","Spokane",417939
"staa","CA","California",6,"SC",11,1,"Santa Ana/Anaheim","Santa Ana/Anaheim",2846289
"stlo","MO","Missouri",29,"IM",34,1,"St. Louis","St. Louis",348189
"stoc","CA","California",6,"NW",76,1,"Stockton","Stockton",563598
"stpe","FL","Florida",12,"SE",39,1,"St. Petersburg","St. Petersburg",921482
"syra","NY","New York",36,"NE",78,1,"Syracuse","Syracuse",454336
"taco","WA","Washington",53,"NW",65,1,"Tacoma","Tacoma",700820
"tamp","FL","Florida",12,"SE",44,1,"Tampa","Tampa",998948
"tole","OH","Ohio",39,"IM",79,1,"Toledo","Toledo",455054
"tope","KS","Kansas",20,"UM",125,1,"Topeka","Topeka",169871
"tucs","AZ","Arizona",4,"SW",57,0,"Tucson","Tucson",843746
"tuls","OK","Oklahoma",40,"SE",73,1,"Tulsa","Tulsa",563299
"wich","KS","Kansas",20,"UM",82,1,"Wichita","Wichita",452869
"wor","MA","Massachusetts",25,"NE",53,1,"Worcester","Worcester",750963
